,date,num_trips,avg_duration,total_duration
0,2015-01-01,5317,801.8066578897875,4263206
1,2015-01-02,11304,731.2409766454352,8265948
2,2015-01-03,4478,655.2842786958464,2934363
3,2015-01-04,7849,679.5542107274812,5333821
4,2015-01-05,14506,637.8118020129601,9252098
5,2015-01-06,8739,634.9224167524889,5548587
6,2015-01-07,9646,589.210968277006,5683529
7,2015-01-08,8779,595.8609181000114,5231063
8,2015-01-09,7930,636.6578814627995,5048697
9,2015-01-10,6109,596.0256997871992,3641121
10,2015-01-11,7467,623.0724521226731,4652482
11,2015-01-12,8645,623.6876807403123,5391780
12,2015-01-13,12797,618.487614284598,7914786
13,2015-01-14,13086,623.0284273269143,8152950
14,2015-01-15,14075,633.4006394316164,8915114
15,2015-01-16,13843,625.3708011269233,8657008
16,2015-01-17,7491,657.2456280870377,4923427
17,2015-01-18,1795,723.4740947075209,1298636
18,2015-01-19,10710,691.7267040149393,7408393
19,2015-01-20,16129,647.8671957343914,10449450
20,2015-01-21,15234,626.8491532099251,9549420
21,2015-01-22,15864,640.5434947049924,10161582
22,2015-01-23,15737,639.5605261485671,10064764
23,2015-01-24,4814,630.3034898213543,3034281
24,2015-01-25,9379,721.2704979208871,6764796
25,2015-01-26,4141,665.1142236174837,2754238
26,2015-01-27,1214,956.2710049423393,1160913
27,2015-01-28,5401,850.4571375671172,4593319
28,2015-01-29,8870,751.9078917700112,6669423
29,2015-01-30,9015,651.4740987243483,5873039
30,2015-01-31,5188,626.7819969159599,3251745
31,2015-02-01,6441,638.1492004347151,4110319
32,2015-02-02,1459,920.8622344071282,1343538
33,2015-02-03,4754,767.224442574674,3647385
34,2015-02-04,8973,697.5565585645826,6259175
35,2015-02-05,9208,623.3967202432667,5740237
36,2015-02-06,8575,637.1169679300292,5463278
37,2015-02-07,6790,686.4608247422681,4661069
38,2015-02-08,6662,666.9377063944761,4443139
39,2015-02-09,5160,633.9317829457365,3271088
40,2015-02-10,10328,638.254647560031,6591894
41,2015-02-11,11439,649.0203689133665,7424144
42,2015-02-12,11269,647.8381400301713,7300488
43,2015-02-13,7642,623.0509029049987,4761355
44,2015-02-14,4614,625.8467706978761,2887657
45,2015-02-15,2581,569.8585819449826,1470805
46,2015-02-16,3998,595.8106553276639,2382051
47,2015-02-17,4784,649.25,3106012
48,2015-02-18,9170,647.9724100327154,5941907
49,2015-02-19,7799,595.5349403769715,4644577
50,2015-02-20,6159,602.8048384478,3712675
51,2015-02-21,3157,590.9299968324359,1865566
52,2015-02-22,4274,717.0456247075339,3064653
53,2015-02-23,7458,631.9479753285063,4713068
54,2015-02-24,7402,644.8715212104837,4773339
55,2015-02-25,10751,651.4522370012091,7003763
56,2015-02-26,9901,675.5079284920715,6688204
57,2015-02-27,9864,659.8214720194647,6508479
58,2015-02-28,6318,649.4412788857234,4103170
59,2015-03-01,2879,740.4637026745397,2131795
60,2015-03-02,7283,677.5293148427845,4934446
61,2015-03-03,6533,762.0384203275677,4978397
62,2015-03-04,7514,700.4226776683524,5262976
63,2015-03-05,1637,925.8546120952963,1515624
64,2015-03-06,5162,736.6666020922123,3802673
65,2015-03-07,5590,887.6742397137746,4962099
66,2015-03-08,7898,821.542795644467,6488545
67,2015-03-09,14878,758.6225299099341,11286786
68,2015-03-10,11781,723.4008997538409,8522386
69,2015-03-11,19561,803.8450488216349,15724013
70,2015-03-12,17530,729.1390758699373,12781808
71,2015-03-13,16145,723.6237225147104,11682905
72,2015-03-14,3906,728.8492063492064,2846885
73,2015-03-15,8838,725.7988232631817,6414610
74,2015-03-16,16787,713.4356942872461,11976445
75,2015-03-17,14857,706.7130645486976,10499636
76,2015-03-18,13842,680.003323219188,9412606
77,2015-03-19,15446,769.2943804221158,11882521
78,2015-03-20,8052,665.689393939394,5360131
79,2015-03-21,9338,815.9306061255087,7619160
80,2015-03-22,9676,748.5712071103762,7243175
81,2015-03-23,13538,649.366671591077,8791126
82,2015-03-24,16166,679.5765186193245,10986034
83,2015-03-25,14670,700.8597818677573,10281613
84,2015-03-26,14954,710.599037046944,10626298
85,2015-03-27,14107,694.6461331253987,9799373
86,2015-03-28,1107,760.4697380307136,841840
87,2015-03-29,9826,850.9773051088948,8361703
88,2015-03-30,18075,726.8038174273859,13136979
89,2015-03-31,14250,761.6802105263158,10853943
90,2015-04-01,20146,792.9338330189615,15974445
91,2015-04-02,24227,1246.030503157634,30187581
92,2015-04-03,14774,821.9384053066198,12143318
93,2015-04-04,14355,901.8744688261929,12946408
94,2015-04-05,13799,1086.3827088919486,14990995
95,2015-04-06,23391,905.6003163609936,21182897
96,2015-04-07,16262,700.4281761160988,11390363
97,2015-04-08,17872,830.9214413607879,14850228
98,2015-04-09,16546,707.6982352230146,11709575
99,2015-04-10,16317,738.7840902126617,12054740
100,2015-04-11,18643,986.277101324894,18387164
101,2015-04-12,19954,1146.0461060439009,22868204
