time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2013-01-01,3.5,-3.3,-0.7,-8.5,0.0,0.0,0.0,0.0,10986.94,19.1,34.9,277,4.79,0.9
2013-01-02,-0.5,-6.9,-6.0,-11.8,0.0,0.0,0.0,0.0,28800.0,16.3,33.1,304,7.39,0.91
2013-01-03,-0.1,-7.1,-5.0,-11.7,0.0,0.0,0.0,0.0,29086.08,14.0,26.6,285,8.43,0.88
2013-01-04,2.6,-3.8,-3.3,-9.3,0.0,0.0,0.0,0.0,29364.48,21.8,44.6,256,9.22,1.12
2013-01-05,5.3,-2.9,1.4,-6.7,0.0,0.0,0.0,0.0,29454.96,18.1,39.2,277,9.44,1.13
2013-01-06,7.0,-2.4,3.2,-5.9,0.4,0.0,0.35,2.0,29328.94,11.2,25.6,237,9.21,0.96
2013-01-07,6.3,-1.0,2.2,-5.0,0.0,0.0,0.0,0.0,29583.61,14.3,31.7,298,9.45,0.98
2013-01-08,8.1,-2.9,4.7,-7.0,0.0,0.0,0.0,0.0,29776.29,13.8,29.2,230,9.36,1.01
2013-01-09,8.5,-1.7,5.5,-5.4,0.0,0.0,0.0,0.0,13974.49,18.9,36.7,242,5.32,0.81
2013-01-10,8.1,-0.8,4.2,-4.5,0.0,0.0,0.0,0.0,29938.58,17.2,35.3,296,9.76,1.3
2013-01-11,7.2,-2.2,4.8,-6.2,9.5,9.5,0.0,9.0,7675.86,9.6,32.8,78,4.05,0.53
2013-01-12,9.0,5.7,7.8,3.4,1.8,1.8,0.0,2.0,439.91,9.4,25.6,38,3.25,0.44
2013-01-13,8.9,5.4,7.3,3.4,0.0,0.0,0.0,0.0,408.98,8.2,18.4,177,2.47,0.37
2013-01-14,13.7,6.4,12.7,2.4,0.3,0.3,0.0,3.0,4951.29,11.9,25.6,283,3.19,0.78
2013-01-15,5.5,2.2,1.8,-1.1,3.5,3.5,0.0,7.0,0.0,10.2,22.3,8,1.75,0.46
2013-01-16,2.6,0.2,-0.0,-3.5,15.2,7.3,5.53,16.0,0.0,12.0,23.8,357,1.09,0.21
2013-01-17,6.5,1.0,2.5,-2.7,0.1,0.0,0.07,1.0,25200.0,13.8,23.8,288,7.57,0.94
2013-01-18,0.4,-6.0,-3.4,-11.1,1.0,0.1,0.7,5.0,30414.12,20.5,39.6,337,10.29,1.09
2013-01-19,8.5,-5.6,3.4,-11.0,0.0,0.0,0.0,0.0,30828.62,22.8,44.3,213,10.19,1.68
2013-01-20,11.0,0.3,5.0,-5.6,0.0,0.0,0.0,0.0,31227.04,25.9,55.1,248,9.8,2.25
2013-01-21,1.5,-3.4,-3.3,-7.3,0.1,0.0,0.35,1.0,19738.95,17.4,32.8,260,7.08,0.98
2013-01-22,-2.0,-8.0,-6.3,-15.0,0.0,0.0,0.0,0.0,31589.36,26.2,57.6,290,10.84,1.52
2013-01-23,-5.7,-10.7,-12.1,-17.2,0.0,0.0,0.0,0.0,31605.29,21.3,41.0,290,10.95,1.26
2013-01-24,-4.2,-10.4,-11.3,-15.1,0.0,0.0,0.0,0.0,31615.02,29.6,56.9,319,11.01,1.22
2013-01-25,-3.7,-10.2,-8.5,-15.5,1.1,0.0,0.77,5.0,15276.97,18.7,35.3,272,7.43,0.94
2013-01-26,-2.2,-8.8,-8.1,-13.4,0.0,0.0,0.0,0.0,32192.95,16.6,31.7,309,11.79,1.13
2013-01-27,1.2,-8.7,-3.6,-13.6,0.0,0.0,0.0,0.0,32327.59,14.3,28.4,297,12.31,1.21
2013-01-28,1.2,-4.9,-2.6,-9.0,4.5,3.3,0.91,10.0,0.0,16.8,31.3,207,2.5,0.48
2013-01-29,9.0,1.4,7.2,-2.1,0.0,0.0,0.0,0.0,18077.96,11.1,21.6,165,7.38,0.85
2013-01-30,15.0,4.0,13.8,1.3,0.1,0.1,0.0,1.0,6783.82,19.5,55.4,181,4.32,0.59
2013-01-31,13.9,-0.7,10.0,-7.3,15.5,15.5,0.0,9.0,31427.06,43.8,103.7,239,11.16,1.83
2013-02-01,0.4,-3.8,-6.7,-9.7,0.0,0.0,0.0,0.0,32478.36,27.6,52.6,278,9.49,1.85
2013-02-02,-1.3,-6.5,-7.2,-11.8,0.5,0.0,0.42,2.0,31974.87,19.3,37.4,250,12.23,1.5
2013-02-03,-0.9,-5.0,-4.7,-9.3,1.0,0.0,0.77,5.0,8681.87,8.7,19.4,281,6.51,0.74
2013-02-04,-0.3,-6.3,-6.8,-11.9,0.0,0.0,0.0,0.0,33449.08,21.6,42.8,272,13.16,1.41
2013-02-05,0.1,-4.7,-3.6,-9.1,1.0,0.0,1.33,8.0,7.28,8.1,19.1,63,4.73,0.54
2013-02-06,3.8,-4.0,-1.7,-8.4,0.1,0.0,0.21,1.0,33751.03,17.9,33.5,299,12.42,1.38
2013-02-07,0.3,-5.1,-4.3,-9.8,0.0,0.0,0.0,0.0,21275.19,11.1,22.7,51,8.69,1.1
2013-02-08,2.7,-2.1,-2.1,-6.7,36.3,5.2,21.77,17.0,0.0,28.1,53.3,46,1.35,0.31
2013-02-09,-1.0,-9.1,-6.9,-14.7,16.5,0.0,11.55,8.0,32141.3,26.3,49.3,321,13.63,1.08
2013-02-10,-1.5,-15.0,-5.0,-20.2,0.0,0.0,0.0,0.0,34371.71,14.5,25.2,294,14.93,1.17
2013-02-11,5.5,-6.8,3.0,-11.5,9.5,9.4,0.07,10.0,0.0,10.1,31.0,201,2.9,0.39
2013-02-12,5.4,-3.2,2.7,-7.4,0.4,0.4,0.0,1.0,34687.64,19.7,40.0,275,13.22,1.31
2013-02-13,4.5,-4.3,1.7,-8.8,1.2,1.0,0.14,4.0,31190.49,10.9,15.1,305,13.83,1.41
2013-02-14,5.5,-4.8,2.8,-9.0,1.1,0.1,0.7,3.0,34872.0,9.8,20.2,281,14.74,1.39
2013-02-15,7.6,-4.6,4.4,-8.8,0.0,0.0,0.0,0.0,34954.23,10.2,25.9,214,14.26,1.42
2013-02-16,2.3,-1.7,-1.9,-7.2,1.1,0.5,0.77,4.0,8084.41,16.7,34.6,349,7.9,0.9
2013-02-17,-1.8,-8.3,-8.2,-16.3,0.8,0.0,0.63,6.0,28876.98,32.5,64.8,316,13.85,1.6
2013-02-18,0.5,-9.9,-4.9,-17.1,0.0,0.0,0.0,0.0,35333.5,29.3,54.7,289,16.0,1.55
2013-02-19,6.5,-5.7,2.1,-10.5,5.9,5.9,0.0,8.0,18811.88,22.7,43.2,206,8.49,0.98
2013-02-20,2.5,-3.7,-2.4,-9.7,0.0,0.0,0.0,0.0,35124.96,27.7,52.2,279,14.91,1.73
2013-02-21,1.2,-5.9,-5.7,-12.2,0.0,0.0,0.0,0.0,35745.32,26.0,53.6,303,16.2,1.82
2013-02-22,2.6,-5.9,-1.5,-11.3,0.4,0.2,0.14,2.0,30345.07,20.5,34.9,36,11.81,1.28
2013-02-23,5.5,0.4,2.7,-3.0,2.2,2.2,0.0,7.0,0.0,15.9,35.3,77,2.1,0.34
2013-02-24,7.1,0.1,2.7,-5.1,0.1,0.1,0.0,1.0,15419.4,19.2,37.4,328,7.25,1.2
2013-02-25,6.8,-2.4,3.4,-6.2,0.0,0.0,0.0,0.0,28724.88,15.0,29.5,321,13.46,1.7
2013-02-26,6.0,-1.8,1.7,-5.5,0.9,0.9,0.0,3.0,22694.07,24.8,45.4,82,10.01,1.25
2013-02-27,10.5,2.8,9.2,-3.3,10.2,10.2,0.0,15.0,384.84,32.9,67.0,72,4.33,0.62
2013-02-28,9.6,0.6,7.1,-2.5,0.8,0.8,0.0,3.0,27671.37,12.2,23.8,274,11.84,1.56
2013-03-01,7.5,-0.4,2.7,-4.4,0.0,0.0,0.0,0.0,33999.83,15.3,31.0,312,12.43,1.78
2013-03-02,4.6,-1.7,0.3,-5.8,0.0,0.0,0.14,0.0,28460.01,14.6,29.2,317,12.21,1.61
2013-03-03,4.5,-1.9,-0.2,-7.0,0.0,0.0,0.0,0.0,36149.9,17.3,33.1,314,14.66,1.96
2013-03-04,5.2,-3.0,-0.7,-8.5,0.0,0.0,0.0,0.0,37546.22,24.0,45.0,304,17.82,2.2
2013-03-05,8.0,-1.8,4.6,-7.6,0.0,0.0,0.0,0.0,36619.19,18.8,37.1,334,16.55,2.06
2013-03-06,4.7,-0.6,-1.6,-5.0,3.9,2.9,0.7,13.0,5755.71,33.7,68.0,49,5.79,0.91
2013-03-07,4.5,0.8,-1.0,-5.2,6.5,1.0,3.85,21.0,2448.09,27.6,54.0,358,5.35,1.05
2013-03-08,3.2,-0.6,-1.3,-6.0,9.9,0.6,6.51,18.0,1056.29,22.4,51.1,347,7.0,0.87
2013-03-09,9.5,-0.8,6.2,-6.0,0.0,0.0,0.0,0.0,38464.84,22.2,38.5,356,19.6,2.19
2013-03-10,8.0,-1.7,6.0,-5.3,0.0,0.0,0.0,0.0,38652.88,12.5,23.0,110,18.98,1.91
2013-03-11,11.9,0.5,9.8,-2.6,0.0,0.0,0.0,0.0,33641.69,14.3,26.6,156,13.87,1.67
2013-03-12,11.6,5.9,10.9,2.4,20.1,20.1,0.0,14.0,0.0,27.9,67.7,179,1.82,0.41
2013-03-13,9.7,0.3,5.1,-3.0,0.0,0.0,0.0,0.0,39254.42,18.4,33.5,283,15.81,2.21
2013-03-14,4.5,-1.2,-2.3,-7.3,0.0,0.0,0.0,0.0,38597.75,30.8,59.0,296,17.42,2.56
2013-03-15,8.0,-2.8,3.2,-7.7,0.0,0.0,0.0,0.0,30363.89,27.2,50.4,273,16.47,2.4
2013-03-16,4.4,-0.5,1.2,-4.2,2.1,0.1,1.4,7.0,21216.94,12.4,27.7,4,9.82,1.21
2013-03-17,4.9,-2.9,-0.3,-7.3,0.0,0.0,0.0,0.0,33344.62,18.5,34.9,319,16.15,1.87
2013-03-18,2.2,-3.6,-3.2,-8.5,7.4,0.3,5.11,7.0,10651.9,20.6,38.2,75,8.32,1.2
2013-03-19,7.1,1.0,4.9,-4.2,6.4,4.1,1.61,7.0,13388.51,25.8,49.3,27,6.94,0.84
2013-03-20,7.4,-1.6,1.7,-7.0,0.0,0.0,0.0,0.0,40593.03,26.3,51.5,272,19.01,2.43
2013-03-21,4.0,-1.3,-0.1,-6.3,0.0,0.0,0.21,0.0,28217.37,18.5,36.0,328,12.67,1.76
2013-03-22,5.3,-2.8,-0.6,-7.7,0.0,0.0,0.0,0.0,38717.94,22.0,42.1,283,14.1,2.11
2013-03-23,7.3,-1.8,1.2,-6.9,0.0,0.0,0.0,0.0,41087.46,25.8,50.4,294,18.78,2.58
2013-03-24,7.7,-2.3,4.5,-6.8,0.0,0.0,0.0,0.0,34476.74,14.1,29.2,314,19.47,2.33
2013-03-25,3.4,1.0,-0.4,-2.8,7.2,5.0,1.54,15.0,0.0,18.6,47.9,33,6.03,0.74
2013-03-26,10.4,-2.8,5.6,-6.7,0.0,0.0,0.0,0.0,41576.8,15.6,29.9,312,18.7,2.44
2013-03-27,10.7,-0.5,6.8,-5.0,0.3,0.3,0.0,2.0,41738.31,16.8,32.4,301,20.22,2.82
2013-03-28,9.4,0.3,5.1,-3.5,0.2,0.2,0.0,1.0,41898.84,15.1,32.0,320,17.7,2.48
2013-03-29,11.9,1.0,8.5,-2.7,0.0,0.0,0.0,0.0,39776.3,14.8,28.4,304,17.99,2.75
2013-03-30,13.2,0.2,9.2,-3.5,0.0,0.0,0.0,0.0,42216.56,12.6,25.9,292,19.69,2.92
2013-03-31,11.7,1.1,7.3,-1.9,2.4,2.4,0.0,6.0,18221.96,19.8,37.4,150,12.06,1.79
2013-04-01,15.0,3.6,10.3,-2.3,0.6,0.6,0.0,4.0,38931.02,24.2,47.5,273,16.3,2.68
2013-04-02,6.5,-1.4,0.2,-5.9,0.0,0.0,0.0,0.0,42688.4,27.7,54.0,286,20.95,3.06
2013-04-03,7.8,-1.7,2.1,-6.7,0.0,0.0,0.0,0.0,42845.8,26.2,49.7,292,21.52,3.22
2013-04-04,10.0,-2.9,7.0,-7.0,0.0,0.0,0.0,0.0,39881.95,18.0,32.4,231,23.43,3.18
2013-04-05,16.2,2.3,12.0,-1.3,0.0,0.0,0.0,0.0,35924.62,21.4,43.2,304,21.8,3.74
2013-04-06,9.9,0.8,7.1,-4.0,0.0,0.0,0.0,0.0,43185.82,20.8,42.8,316,24.88,3.47
2013-04-07,13.2,1.6,9.5,-2.3,0.3,0.3,0.0,1.0,42721.33,22.7,45.4,185,21.77,2.95
2013-04-08,20.8,6.1,21.0,3.8,0.0,0.0,0.0,0.0,43200.0,14.0,25.2,210,23.12,3.74
2013-04-09,25.9,10.5,24.5,9.0,0.0,0.0,0.0,0.0,43200.0,20.7,35.6,259,23.89,4.72
2013-04-10,22.1,11.2,22.8,10.5,0.4,0.4,0.0,1.0,42229.84,15.1,30.6,106,18.81,3.17
2013-04-11,15.9,7.8,14.2,4.0,1.7,1.7,0.0,4.0,23067.29,16.1,35.6,65,12.18,2.04
2013-04-12,7.5,5.4,3.4,0.4,15.1,15.1,0.0,13.0,0.0,26.3,60.5,64,1.8,0.62
2013-04-13,13.1,4.0,9.9,1.3,0.0,0.0,0.0,0.0,33875.33,14.1,27.4,301,17.19,2.49
2013-04-14,13.4,4.5,9.2,2.0,0.0,0.0,0.0,0.0,43518.8,21.4,41.8,297,25.25,3.49
2013-04-15,12.3,4.3,10.0,1.4,0.0,0.0,0.0,0.0,41985.37,13.2,28.1,111,20.97,2.96
2013-04-16,17.8,4.8,16.1,2.3,1.0,1.0,0.0,1.0,43200.0,22.0,42.8,162,19.02,2.82
2013-04-17,19.9,10.6,18.7,9.2,0.8,0.8,0.0,3.0,41586.32,15.6,30.2,333,21.68,3.55
2013-04-18,13.8,6.4,10.7,3.9,0.0,0.0,0.0,0.0,20780.21,17.7,36.7,120,9.79,1.7
2013-04-19,21.5,11.9,20.7,10.6,0.6,0.6,0.0,2.0,36072.52,25.7,52.6,182,15.45,2.67
2013-04-20,17.6,8.9,17.8,3.7,9.8,9.8,0.0,8.0,34379.44,23.4,75.6,280,21.59,3.76
2013-04-21,11.2,2.6,8.9,-2.3,0.0,0.0,0.0,0.0,44846.64,20.3,39.6,351,27.3,3.86
2013-04-22,10.4,3.7,6.1,0.3,0.0,0.0,0.0,0.0,43871.09,23.0,45.7,87,22.92,2.87
2013-04-23,9.9,5.1,7.1,0.7,0.0,0.0,0.0,0.0,9339.57,18.4,36.4,36,6.25,1.27
2013-04-24,19.6,3.1,19.1,0.6,0.0,0.0,0.0,0.0,44921.23,17.1,35.6,212,26.02,3.88
2013-04-25,16.6,7.5,14.6,2.9,0.5,0.5,0.0,2.0,45376.5,23.4,42.8,292,27.82,4.36
2013-04-26,17.5,5.2,15.7,2.3,0.0,0.0,0.0,0.0,45720.27,13.4,27.7,298,26.86,4.11
2013-04-27,18.5,5.5,17.6,2.1,0.0,0.0,0.0,0.0,46008.37,15.3,28.8,19,27.35,4.67
2013-04-28,19.4,6.7,18.3,4.6,0.0,0.0,0.0,0.0,41636.02,18.6,33.8,168,25.49,4.47
2013-04-29,13.4,10.5,11.3,8.4,0.4,0.4,0.0,2.0,0.0,13.3,29.9,135,4.87,1.26
2013-04-30,17.4,8.4,15.3,6.0,0.0,0.0,0.0,0.0,45454.71,15.1,32.0,100,26.88,4.33
2013-05-01,18.0,5.4,16.5,2.8,0.0,0.0,0.0,0.0,46820.0,16.4,31.3,89,28.32,4.3
2013-05-02,20.2,5.7,20.2,3.5,0.0,0.0,0.0,0.0,46917.88,11.4,20.5,123,27.73,4.58
2013-05-03,16.0,9.1,14.6,7.0,0.0,0.0,0.0,0.0,43270.55,15.9,33.5,94,26.81,4.11
2013-05-04,17.8,6.4,17.3,4.2,0.0,0.0,0.0,0.0,47333.81,16.6,34.2,97,27.68,4.09
2013-05-05,14.9,6.8,13.6,3.6,0.0,0.0,0.0,0.0,47459.54,13.9,28.1,91,23.39,3.31
2013-05-06,18.3,6.7,18.3,4.4,0.0,0.0,0.0,0.0,21602.75,12.8,24.1,105,13.51,2.23
2013-05-07,20.0,8.0,19.3,6.3,0.0,0.0,0.0,0.0,39849.77,13.9,25.2,92,18.01,2.9
2013-05-08,18.8,12.1,19.3,11.2,20.2,20.2,0.0,12.0,19202.33,15.0,30.2,92,9.63,1.45
2013-05-09,19.6,11.1,19.0,10.4,6.0,6.0,0.0,10.0,22421.02,10.2,23.0,354,11.97,2.0
2013-05-10,25.0,10.1,26.0,9.0,0.0,0.0,0.0,0.0,44319.22,11.6,23.4,216,25.89,4.76
2013-05-11,21.7,15.2,22.6,15.2,16.5,16.5,0.0,18.0,13226.21,16.4,45.0,194,10.35,1.91
2013-05-12,19.7,11.2,17.0,6.2,0.4,0.4,0.0,2.0,41704.97,24.6,47.9,268,24.3,4.67
2013-05-13,12.9,6.9,8.0,3.1,0.0,0.0,0.0,0.0,48391.12,20.2,41.8,282,23.23,4.03
2013-05-14,14.6,5.0,11.0,1.3,0.0,0.0,0.0,0.0,47895.56,16.4,32.4,298,23.14,3.71
2013-05-15,21.1,6.2,20.8,3.5,0.3,0.3,0.0,2.0,45665.91,17.0,45.0,190,22.13,3.75
2013-05-16,25.3,11.7,25.3,10.3,0.0,0.0,0.0,0.0,48712.2,14.0,27.7,261,22.51,4.54
2013-05-17,21.4,12.3,20.0,10.1,0.0,0.0,0.0,0.0,48815.52,14.9,28.1,333,27.84,5.11
2013-05-18,19.7,12.5,18.1,12.1,0.7,0.7,0.0,3.0,28026.39,11.6,23.4,155,14.12,2.65
2013-05-19,15.9,13.1,15.0,12.1,2.4,2.4,0.0,11.0,0.0,15.9,32.4,120,5.19,1.2
2013-05-20,24.4,14.1,26.2,14.7,0.0,0.0,0.0,0.0,19874.8,10.7,19.1,236,11.93,2.38
2013-05-21,29.0,16.3,32.3,17.3,0.0,0.0,0.0,0.0,49207.46,13.2,25.2,226,25.37,5.04
2013-05-22,29.9,18.6,34.6,20.1,1.5,1.5,0.0,3.0,31981.77,14.3,28.4,172,18.78,3.86
2013-05-23,24.8,18.5,26.0,19.0,15.7,15.7,0.0,18.0,22861.32,18.6,50.4,192,13.86,2.62
2013-05-24,18.9,8.3,20.7,3.8,7.4,7.4,0.0,15.0,16865.68,24.1,46.8,307,10.59,1.88
2013-05-25,12.1,7.1,6.4,3.0,10.8,10.8,0.0,20.0,6135.33,31.6,78.5,317,9.85,1.9
2013-05-26,18.5,8.6,13.7,4.3,0.0,0.0,0.0,0.0,49626.59,29.4,57.2,302,23.43,4.56
2013-05-27,21.9,6.8,20.5,4.1,0.0,0.0,0.0,0.0,49671.65,13.3,26.3,266,30.75,5.44
2013-05-28,18.6,10.3,17.4,8.7,5.3,5.3,0.0,8.0,12971.26,9.3,19.1,153,9.08,1.68
2013-05-29,28.1,13.2,31.1,13.4,0.1,0.1,0.0,1.0,33858.5,11.2,24.8,221,19.96,3.99
2013-05-30,31.6,18.4,34.3,19.4,0.0,0.0,0.0,0.0,49799.34,13.3,22.7,248,27.17,5.91
2013-05-31,31.8,18.7,35.1,19.8,0.0,0.0,0.0,0.0,49840.27,12.3,23.8,223,26.23,5.93
2013-06-01,31.3,19.2,34.1,20.5,0.0,0.0,0.0,0.0,49880.57,13.8,24.8,212,27.9,6.23
2013-06-02,30.6,21.3,32.8,22.7,5.4,5.4,0.0,5.0,45392.85,18.5,37.4,213,25.41,5.75
2013-06-03,24.0,19.9,26.9,20.0,23.8,23.8,0.0,10.0,28951.67,15.9,30.2,245,11.58,2.36
2013-06-04,22.8,14.0,21.4,10.5,0.0,0.0,0.0,0.0,49996.8,18.4,37.1,325,30.31,6.02
2013-06-05,21.2,12.1,21.8,10.4,0.0,0.0,0.0,0.0,50033.69,13.5,26.6,83,28.65,5.14
2013-06-06,21.0,11.9,19.8,11.4,1.4,1.4,0.0,3.0,30891.43,18.4,36.4,122,18.22,3.31
2013-06-07,16.8,15.1,16.8,14.0,45.0,45.0,0.0,24.0,0.0,23.2,41.8,73,1.59,0.43
2013-06-08,23.6,13.7,24.6,11.4,6.2,6.2,0.0,6.0,34186.12,25.9,49.7,312,16.53,3.1
2013-06-09,25.7,14.3,27.5,14.7,0.0,0.0,0.0,0.0,50169.69,12.0,22.3,268,26.11,4.8
2013-06-10,19.9,17.5,21.4,17.5,23.6,23.6,0.0,14.0,2050.14,18.4,41.8,99,4.27,0.87
2013-06-11,25.8,19.9,27.1,19.6,7.6,7.6,0.0,9.0,46556.19,24.1,48.6,246,22.32,4.34
2013-06-12,24.1,17.5,22.6,15.6,0.0,0.0,0.0,0.0,50257.12,24.2,47.5,306,25.29,4.99
2013-06-13,18.3,13.8,18.7,10.9,31.1,31.1,0.0,16.0,0.0,27.0,52.2,90,5.39,1.0
2013-06-14,21.4,12.4,21.1,9.5,5.6,5.6,0.0,8.0,32677.77,27.4,53.3,352,16.17,3.13
2013-06-15,25.2,14.8,24.8,13.9,0.0,0.0,0.0,0.0,50329.51,15.0,28.8,299,27.87,5.34
2013-06-16,26.8,14.0,27.5,14.0,0.0,0.0,0.0,0.0,39180.5,19.1,35.6,235,22.21,4.66
2013-06-17,28.2,17.4,30.2,18.9,0.0,0.0,0.0,0.0,46768.28,15.3,30.6,239,24.63,4.92
2013-06-18,25.8,18.1,29.5,18.3,3.2,3.2,0.0,8.0,25945.17,16.0,33.8,65,15.6,2.99
2013-06-19,23.8,15.7,23.5,15.0,0.0,0.0,0.0,0.0,50399.11,16.6,34.2,11,28.75,5.13
2013-06-20,24.8,13.6,26.2,13.4,0.0,0.0,0.0,0.0,50400.0,14.3,28.4,196,25.18,4.85
2013-06-21,26.2,14.4,28.2,13.8,0.0,0.0,0.0,0.0,50400.0,13.4,27.7,207,28.22,5.61
2013-06-22,27.2,14.6,29.5,14.4,0.0,0.0,0.0,0.0,50400.0,14.0,28.8,198,29.4,5.79
2013-06-23,29.1,18.3,31.4,19.0,0.2,0.2,0.0,1.0,50118.42,18.0,32.0,209,26.44,5.34
2013-06-24,33.2,21.3,36.1,24.0,1.2,1.2,0.0,2.0,50400.0,13.9,32.8,245,26.85,5.99
2013-06-25,32.4,20.3,34.3,22.5,0.0,0.0,0.0,0.0,50400.0,21.0,38.2,250,26.27,6.36
2013-06-26,31.5,22.6,34.8,24.1,3.4,3.4,0.0,5.0,41435.58,16.3,29.2,258,23.05,5.36
2013-06-27,28.8,21.5,33.7,23.8,11.9,11.9,0.0,11.0,45221.71,21.9,32.8,148,22.4,4.46
2013-06-28,28.6,21.7,31.6,23.6,12.0,12.0,0.0,12.0,45872.5,20.7,42.1,218,22.79,4.7
2013-06-29,27.4,21.8,31.1,24.6,2.0,2.0,0.0,5.0,40835.05,14.6,38.2,208,23.13,4.55
2013-06-30,26.8,20.8,30.3,24.2,4.6,4.6,0.0,9.0,25136.17,18.1,35.3,165,15.39,3.0
2013-07-01,26.2,22.4,30.4,25.7,14.5,14.5,0.0,18.0,6254.77,14.8,41.8,173,8.16,1.65
2013-07-02,26.4,22.6,30.7,25.3,9.2,9.2,0.0,17.0,21082.97,15.2,37.8,192,12.21,2.48
2013-07-03,27.4,22.1,31.4,24.9,6.2,6.2,0.0,11.0,43814.25,15.7,32.0,216,15.79,3.12
2013-07-04,30.1,23.0,33.1,26.5,0.0,0.0,0.0,0.0,50357.61,16.8,32.4,226,23.46,5.01
2013-07-05,31.4,22.8,35.1,25.7,0.0,0.0,0.0,0.0,50324.89,14.3,27.0,227,27.14,5.92
2013-07-06,32.7,23.8,36.2,26.8,0.0,0.0,0.0,0.0,50290.47,14.8,30.6,251,26.26,6.0
2013-07-07,33.0,24.0,37.2,27.5,0.2,0.2,0.0,1.0,50239.25,13.6,25.2,240,26.24,6.09
2013-07-08,30.3,23.0,32.8,25.9,0.2,0.2,0.0,1.0,50185.23,14.0,26.6,253,24.71,5.62
2013-07-09,30.5,22.2,34.0,24.9,0.6,0.6,0.0,1.0,50128.45,11.0,24.8,234,22.1,4.99
2013-07-10,28.6,23.3,32.8,27.0,17.6,17.6,0.0,7.0,39063.05,18.2,43.9,218,15.09,3.26
2013-07-11,28.2,22.9,31.4,26.1,5.4,5.4,0.0,6.0,18805.79,13.3,28.1,273,12.8,2.86
2013-07-12,24.7,20.6,26.6,21.7,10.3,10.3,0.0,12.0,12416.97,20.0,42.1,49,10.08,2.44
2013-07-13,26.9,20.7,31.4,21.7,9.3,9.3,0.0,20.0,41093.84,20.6,43.9,93,14.04,2.78
2013-07-14,30.9,21.9,34.6,26.1,0.0,0.0,0.0,0.0,49795.54,11.1,27.4,253,22.83,4.87
2013-07-15,32.9,23.4,36.4,26.1,0.0,0.0,0.0,0.0,49719.8,13.0,24.5,295,23.93,5.45
2013-07-16,32.8,23.3,35.5,25.6,0.0,0.0,0.0,0.0,49641.24,12.6,24.5,346,26.58,6.13
2013-07-17,33.0,22.8,36.5,26.2,0.0,0.0,0.0,0.0,49560.0,10.9,24.5,309,24.26,5.5
2013-07-18,34.8,25.1,39.9,27.4,0.2,0.2,0.0,1.0,49476.17,11.7,23.8,275,25.2,6.1
2013-07-19,34.9,26.0,38.7,30.0,0.7,0.7,0.0,2.0,49236.57,19.9,42.1,237,24.92,6.36
2013-07-20,32.6,23.9,35.4,28.4,12.4,12.4,0.0,4.0,47106.59,20.5,46.1,246,22.47,5.54
2013-07-21,28.8,23.5,33.4,26.3,1.7,1.7,0.0,2.0,44533.08,10.9,26.3,85,21.03,4.45
2013-07-22,28.0,22.7,32.5,26.4,5.4,5.4,0.0,9.0,37539.2,11.5,23.8,99,16.04,3.34
2013-07-23,29.7,23.2,34.1,26.8,24.5,24.5,0.0,11.0,39055.98,13.4,34.2,247,19.1,4.06
2013-07-24,28.0,21.5,30.5,20.1,0.0,0.0,0.0,0.0,47393.98,17.3,37.4,315,22.05,4.84
2013-07-25,20.7,18.7,19.1,17.2,0.9,0.9,0.0,3.0,0.0,18.4,37.4,25,5.84,2.34
2013-07-26,27.2,17.9,29.9,17.5,0.0,0.0,0.0,0.0,47605.02,13.4,28.1,353,25.0,4.99
2013-07-27,26.6,17.5,28.8,19.1,0.0,0.0,0.0,0.0,47836.88,14.9,33.5,184,22.58,4.47
2013-07-28,25.9,18.6,27.3,21.0,3.5,3.5,0.0,7.0,28928.17,16.6,33.1,157,14.1,2.89
2013-07-29,27.9,20.0,30.0,19.8,15.9,15.9,0.0,7.0,46824.3,15.6,28.8,257,22.01,4.72
